Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status,Numero da edicao (product.metafields.custom.numero_da_edicao),Lenda da caveira (product.metafields.custom.lenda)
kultu-006,KULTU N.º 006,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-006,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-006-a.jpg,1,"Garrafa KULTU by shazequin N.º 6 — absinto de edição limitada, caveira pintada à mão",active,6,"[LENDA — texto próprio desta caveira, opcional]"
kultu-006,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-006-b.jpg,2,"Garrafa KULTU by shazequin N.º 6 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-007,KULTU N.º 007,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-007,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-007-a.jpg,1,"Garrafa KULTU by shazequin N.º 7 — absinto de edição limitada, caveira pintada à mão",active,7,"[LENDA — texto próprio desta caveira, opcional]"
kultu-007,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-007-b.jpg,2,"Garrafa KULTU by shazequin N.º 7 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-008,KULTU N.º 008,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-008,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-008-a.jpg,1,"Garrafa KULTU by shazequin N.º 8 — absinto de edição limitada, caveira pintada à mão",active,8,"[LENDA — texto próprio desta caveira, opcional]"
kultu-008,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-008-b.jpg,2,"Garrafa KULTU by shazequin N.º 8 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-009,KULTU N.º 009,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-009,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos/kultu-009.jpg,1,"Garrafa KULTU by shazequin N.º 9 — absinto de edição limitada, caveira pintada à mão",active,9,"[LENDA — texto próprio desta caveira, opcional]"
kultu-010,KULTU N.º 010,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-010,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-010-a.jpg,1,"Garrafa KULTU by shazequin N.º 10 — absinto de edição limitada, caveira pintada à mão",active,10,"[LENDA — texto próprio desta caveira, opcional]"
kultu-010,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-010-b.jpg,2,"Garrafa KULTU by shazequin N.º 10 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-011,KULTU N.º 011,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-011,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-011-a.jpg,1,"Garrafa KULTU by shazequin N.º 11 — absinto de edição limitada, caveira pintada à mão",active,11,"[LENDA — texto próprio desta caveira, opcional]"
kultu-011,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-011-b.jpg,2,"Garrafa KULTU by shazequin N.º 11 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-012,KULTU N.º 012,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-012,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-012-a.jpg,1,"Garrafa KULTU by shazequin N.º 12 — absinto de edição limitada, caveira pintada à mão",active,12,"[LENDA — texto próprio desta caveira, opcional]"
kultu-012,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-012-b.jpg,2,"Garrafa KULTU by shazequin N.º 12 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-013,KULTU N.º 013,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-013,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-013-a.jpg,1,"Garrafa KULTU by shazequin N.º 13 — absinto de edição limitada, caveira pintada à mão",active,13,"[LENDA — texto próprio desta caveira, opcional]"
kultu-013,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-013-b.jpg,2,"Garrafa KULTU by shazequin N.º 13 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-014,KULTU N.º 014,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-014,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-014-a.jpg,1,"Garrafa KULTU by shazequin N.º 14 — absinto de edição limitada, caveira pintada à mão",active,14,"[LENDA — texto próprio desta caveira, opcional]"
kultu-014,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-014-b.jpg,2,"Garrafa KULTU by shazequin N.º 14 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
kultu-015,KULTU N.º 015,"<p><em>Cada caveira é uma obra de arte. Cada garrafa, um brinde à vida. Absinto de edição limitada, assinado por shazequin.</em></p><p>Esta garrafa não saiu de uma linha de produção — saiu das mãos de shazequin.</p><p>Inspirada no Día de Los Muertos, a caveira Kultu não celebra a morte: celebra a memória, a alegria e a vida que continua. Cada peça é pintada individualmente à mão, com técnica mista — acrílico, esmalte, óleo e spray, contorno de silicone e uma seleção própria de acessórios — o que garante que a sua garrafa é, literalmente, a única no mundo com aquele rosto.</p><p>Numerada manualmente, esta é uma edição limitada e exclusiva. Não haverá reedição. Quando esta tiragem acabar, acaba mesmo — e a sua garrafa passa a ser, também ela, uma peça de coleção.</p><p><em>Autêntica e única. Como você.</em></p><h3>Ficha técnica</h3><ul><li>Tipo de bebida: Absinto</li><li>Volume: 70 cl</li><li>Grau alcoólico: 80%</li><li>Edição: Limitada — numerada à mão</li><li>Técnica da garrafa: Acrílico, esmalte, óleo, spray, silicone</li><li>Artista: shazequin</li></ul><p><strong>Confirmação de idade obrigatória antes da compra. Venda proibida a menores de 18 anos. Consuma com responsabilidade.</strong></p>",KULTU by shazequin,Absinto,"kultu, absinto, edição limitada, peça única, pintado à mão, disponivel",TRUE,Title,Default Title,KULTU-015,shopify,1,deny,manual,399.00,TRUE,TRUE,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-015-a.jpg,1,"Garrafa KULTU by shazequin N.º 15 — absinto de edição limitada, caveira pintada à mão",active,15,"[LENDA — texto próprio desta caveira, opcional]"
kultu-015,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/antonio-p-sousa/expand/main/assets/produtos-hd/kultu-015-b.jpg,2,"Garrafa KULTU by shazequin N.º 15 — absinto de edição limitada, caveira pintada à mão (vista 2)",,,
